# page|Swedish excerpt|English translation|Swedish question|English question|correct SV~EN|wrong SV~EN|wrong SV~EN
37|Du-reformen på 1960-talet innebar att människor började säga ”du” till varandra i stället för att använda titlar eller ”ni”.|The du reform in the 1960s meant people began addressing each other with the informal du instead of titles or the formal ni.|Vad innebar du-reformen?|What did the du reform involve?|Att tilltala varandra med du~Addressing one another with the informal du|Att använda ni i stället för yrkestitlar~Using the formal ni instead of professional titles|Att använda förnamn men behålla ni mellan vuxna~Using first names but retaining formal ni between adults
38|En stor förändring från och med 1990-talet var den digitala revolutionen.|A major change from the 1990s onwards was the digital revolution.|Vilken stor förändring inleddes från 1990-talet enligt texten?|Which major change began from the 1990s according to the text?|Den digitala revolutionen~The digital revolution|Det första genombrottet för fabriksindustrin~The first breakthrough of factory industry|Det första genombrottet för televisionen~The first breakthrough of television
39|Sverige har varit medlem i EU sedan 1995.|Sweden has been a member of the EU since 1995.|När blev Sverige medlem i EU?|When did Sweden join the EU?|1995~1995|1994~1994|2004~2004
39|Nästan alla världens länder är med i FN som grundades 1945 efter andra världskriget.|Almost all countries in the world are members of the UN, which was founded in 1945 after the Second World War.|När grundades FN enligt texten?|When was the UN founded according to the text?|1945~1945|1948~1948|1949~1949
39|Styrelsen för internationellt utvecklingssamarbete (Sida) är en statlig myndighet som arbetar för att minska fattigdom och förtryck i världen.|The Swedish International Development Cooperation Agency (Sida) is a state agency working to reduce poverty and oppression worldwide.|Vad arbetar Sida för?|What does Sida work towards?|Att minska fattigdom och förtryck~Reducing poverty and oppression|Att främst främja svenska företags export~Primarily promoting Swedish companies' exports|Att leda Sveriges militära försvarsinsatser utomlands~Leading Sweden's military defence operations abroad
40|Norge blev på fredlig väg en självständig stat 1905.|Norway became an independent state peacefully in 1905.|När blev Norge självständigt från unionen med Sverige?|When did Norway become independent from the union with Sweden?|1905~1905|1814~1814|1907~1907
40|Sverige blev medlem år 2024.|Sweden became a member in 2024.|När blev Sverige medlem i Nato?|When did Sweden join NATO?|2024~2024|2022~2022|2023~2023
40|Det svenska totalförsvaret omfattar både det militära försvaret och det civila försvaret.|Sweden's total defence includes both military defence and civil defence.|Vilka två delar ingår i totalförsvaret?|Which two parts make up total defence?|Militärt och civilt försvar~Military and civil defence|Militärt försvar och enbart räddningstjänst~Military defence and only rescue services|Civilt försvar och enbart polisverksamhet~Civil defence and only policing
42|Sverige är en sekulär stat.|Sweden is a secular state.|Hur beskrivs den svenska staten i fråga om religion?|How is the Swedish state described in relation to religion?|Sekulär~Secular|Religiöst styrd med en officiell statskyrka~Religiously governed with an official state church|Religiöst neutral men med krav på medlemskap i ett samfund~Religiously neutral but requiring membership of a faith community
42|Denna lag gjorde det möjligt för människor att helt fritt välja religion eller att inte tillhöra någon religion alls.|This law made it possible for people to freely choose a religion or belong to no religion at all.|Vad möjliggjorde religionsfrihetslagen 1951?|What did the 1951 freedom of religion law make possible?|Att välja religion eller ingen religion~Choosing a religion or no religion|Att lämna Svenska kyrkan endast för ett annat kristet samfund~Leaving the Church of Sweden only for another Christian community|Att byta religion först efter myndighetsgodkännande~Changing religion only after official approval
42|När staten och Svenska kyrkan skildes åt år 2000, blev Svenska kyrkan ett av flera trossamfund i samhället.|When the state and the Church of Sweden separated in 2000, the Church of Sweden became one of several religious communities in society.|När skildes staten och Svenska kyrkan åt?|When did the state and the Church of Sweden separate?|2000~2000|1995~1995|2005~2005
43|Innan dess, under medeltiden, var Sverige ett katolskt land.|Before that, during the Middle Ages, Sweden was a Catholic country.|Vilken kristen tradition präglade Sverige under medeltiden?|Which Christian tradition characterised Sweden during the Middle Ages?|Katolsk~Catholic|Luthersk~Lutheran|Ortodox~Orthodox
45|Nyårsafton den 31 december firas ofta med fester och middagar med vänner och familj.|New Year's Eve on 31 December is often celebrated with parties and dinners with friends and family.|När är nyårsafton?|When is New Year's Eve?|31 december~31 December|1 januari~1 January|30 december~30 December
46|Valborgsmässoafton den 30 april firas för att välkomna våren.|Walpurgis Night on 30 April is celebrated to welcome spring.|Vad välkomnar man på valborgsmässoafton?|What is welcomed on Walpurgis Night?|Våren~Spring|Sommaren~Summer|Skördetiden~The harvest season
46|Den 6 juni är Sveriges nationaldag.|6 June is Sweden's National Day.|När är Sveriges nationaldag?|When is Sweden's National Day?|6 juni~6 June|6 maj~6 May|6 juli~6 July
46|Midsommarfirandet handlar om att välkomna sommaren och ljuset.|Midsummer celebrations are about welcoming summer and the light.|Vad handlar midsommarfirandet om?|What are Midsummer celebrations about?|Att välkomna sommaren och ljuset~Welcoming summer and the light|Att markera början på skörden under sensommaren~Marking the start of the late-summer harvest|Att välkomna våren med stora brasor~Welcoming spring with large bonfires
46|Då går många till kyrkogården för att tända ljus på släktingars och vänners gravar för att minnas och hedra dem som har dött.|Many people then visit the cemetery to light candles on relatives' and friends' graves to remember and honour those who have died.|Vad gör många på alla helgons dag?|What do many people do on All Saints' Day?|Tänder ljus på gravar~Light candles on graves|Tänder vårbrasor på allmänna platser~Light spring bonfires in public places|Tänder det första ljuset i adventsljusstaken~Light the first candle in the Advent candleholder
47|På julafton den 24 december samlas familjer för att umgås, äta särskild julmat och ge varandra presenter – julklappar.|On Christmas Eve, 24 December, families gather to spend time together, eat special Christmas food and exchange presents.|När firas julafton?|When is Christmas Eve celebrated?|24 december~24 December|25 december~25 December|26 december~26 December
